layer_id,head_id,delta,attn_top,cos_true,cos_false,prompt,true_label,false_label
0,0,0.0012950897216796875,answer | Yes | system | system | 2,-0.022,-0.022,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,1,0.00067901611328125,"
 | : | . | '. | ?",-0.006,-0.005,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,2,0.0010967254638671875,"
 | '. | Answer | : | Yes",0.024,-0.006,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,3,0.0015544891357421875,": | 
 | A | < | :",-0.023,0.01,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,4,0.004520416259765625,: | Answer | Please | answer | system,0.013,0.01,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,5,-0.013376235961914062,Yes | Answer | 2 | answer | earlier,-0.03,-0.017,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,6,-0.059535980224609375,"
 | : | : | 
 | .",-0.003,0.004,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,7,-0.00305938720703125,": | A | '. | 
 | or",0.005,0.029,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,8,-0.0027618408203125,Yes | '. | No | ' | A,0.016,-0.007,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,9,-0.002330780029296875,Please | Answer | Yes | answer | <s>,0.003,0.03,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,10,0.00060272216796875,A | or | Yes | are | No,-0.028,-0.006,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,11,0.004306793212890625,Answer | Yes | No | A | '.,0.013,0.014,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,12,-0.004138946533203125,A | No | Yes | < | Answer,-0.018,-0.023,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,13,-0.0007190704345703125,answer | Yes | Answer | system | Please,-0.012,-0.003,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,14,0.000240325927734375,"> | 
 | ? | . | :",-0.005,0.016,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,15,0.002277374267578125,: | A | years | Yes | Is,0.007,0.009,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,16,-0.0046100616455078125,": | 
 | 
 | 2 | 9",-0.003,0.005,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,17,-0.0067081451416015625,"
 | : | 
 | A | system",0.001,-0.004,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,18,-0.0035266876220703125,: | answer | '. | Answer | or,-0.001,0.02,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,19,-0.00667572021484375,: | A | No | Yes | Answer,0.01,-0.036,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,20,-0.00012969970703125,": | '. | 
 | ' | '",-0.004,-0.023,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,21,-0.017759323120117188,: | ' | ? | ' | ,-0.004,-0.01,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,22,-0.0075359344482421875,A | No | Yes | Answer | '.,0.002,0.017,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,23,-0.02506256103515625,Answer | A | : | Yes | <s>,-0.004,-0.001,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,24,-0.025363922119140625,'. | : | A | ' | Yes,-0.025,-0.018,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,25,0.0002288818359375,Yes | Please | Answer | No | earlier,0.018,-0.026,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,26,-0.003025054931640625,Answer | Please | '. | : | ',-0.008,-0.009,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,27,-0.030544281005859375,' | ? | '. | : | ',-0.015,-0.018,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,28,-0.014287948608398438,"A | No | '. | 
 | '",0.017,0.025,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,29,0.0087127685546875,: | A | or | '. | with,0.011,-0.003,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,30,0.0023860931396484375,Yes | A | : | than | No,-0.018,0.002,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
0,31,-0.03134918212890625,A | or | are | with | a,-0.019,-0.018,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
1,0,-0.005397796630859375,"
 | : | . | A | '.",0.025,0.009,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
1,1,0.0016651153564453125,"A | No | '. | 
 | .",0.011,0.004,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
1,2,-1.52587890625e-05,"<s> | Please | 
 | answer | Answer",0.003,-0.003,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
1,3,0.005573272705078125,": | . | 
 | 
 | '.",0.019,0.013,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
1,4,-0.00046539306640625,"A | . | : | 
 | 
",0.004,0.008,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
1,5,-0.0057430267333984375,". | 
 | 
 | A | :",-0.002,-0.011,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
1,6,0.0010623931884765625,". | 
 | 
 | a | :",0.042,-0.012,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
1,7,-0.001834869384765625,"A | : | . | 
 | 
",-0.02,0.008,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
1,8,-0.004123687744140625,"'. | 
 | A | ' | or",0.005,0.006,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
1,9,-0.012203216552734375,"
 | : | . | A | ?",0.033,0.002,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
1,10,0.0008449554443359375,"A | . | : | 
 | 
",0.016,-0.011,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
1,11,-0.00199127197265625,". | 
 | : | ? | :",0.025,0.009,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
1,12,0.0003566741943359375,"
 | Please | 
 | or | Is",-0.002,-0.018,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
1,13,-0.0030384063720703125,". | : | 
 | A | 
",0.023,0.043,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
1,14,0.006900787353515625,". | 
 | : | > | ?",-0.021,-0.013,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
1,15,0.00383758544921875,". | 
 | 
 | a | ?",-0.005,-0.019,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
1,16,0.0016040802001953125,". | 
 | : | A | 
",-0.029,-0.031,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
1,17,-0.0024871826171875,". | 
 | : | ? | 
",-0.001,0.044,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
1,18,-0.006862640380859375,": | A | . | 
 | 
",-0.013,-0.015,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
1,19,0.01985931396484375,"A | : | 
 | '. | Yes",0.006,0.015,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
