layer_id,head_id,delta,attn_top,cos_true,cos_false,prompt,true_label,false_label
11,0,0.0851287841796875,<s> | > | A | answer | You,0.011,0.004,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
11,3,0.03963279724121094,"<s> | Is | ? | 
 | <",0.017,-0.006,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
11,5,0.08066940307617188,"<s> | system | 
 | > | :",0.018,0.034,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
11,7,0.00251007080078125,"<s> | : | A | 
 | '.",0.01,-0.025,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
11,9,0.13451385498046875,"<s> | : | A | 
 | '.",-0.019,-0.009,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
11,11,0.021223068237304688,"<s> | . | : | 
 | years",0.041,-0.003,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
11,13,0.007129669189453125,"<s> | : | A | 
 | '.",0.003,0.033,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
11,14,0.26798057556152344,"<s> | : | A | 
 | '.",-0.009,-0.006,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
11,15,0.28847312927246094,: | <s> | A | Answer | Please,0.008,0.011,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
11,16,0.08082199096679688,"<s> | > | 
 | '. | No",0.011,-0.029,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
11,17,0.0004730224609375,"<s> | : | Is | 
 | 
",0.018,0.035,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
11,18,0.011312484741210938,"<s> | : | A | 
 | answer",0.034,0.03,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
11,19,0.002254486083984375,<s> | answer | Please | You | >,0.028,-0.001,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
11,26,0.08064460754394531,<s> | > | Answer | . | compare,-0.016,0.001,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
11,28,0.0543212890625,<s> | : | A | ? | ,-0.033,-0.015,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
11,31,0.010562896728515625,"<s> | : | You | 
 | <",0.03,0.012,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
12,0,0.012035369873046875,<s> | or | '. | No | ?,0.006,0.075,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
12,1,0.033718109130859375,<s> | : | A | No | '.,0.002,0.003,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
12,2,0.03308677673339844,"<s> | A | : | 
 | '.",-0.001,-0.006,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
12,4,0.09900474548339844,"<s> | : | 
 | ? | Yes",-0.013,0.016,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
12,5,0.01967620849609375,"<s> | : | > | 
 | :",-0.019,-0.004,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
12,8,0.12133407592773438,"<s> | : | ? | 
 | Yes",0.006,-0.0,"<system> You are a bot that can compare years. <system>
Please answer: Is 1942 earlier than 1911? Answer with 'Yes' or 'No'.
A:",No,Yes
