label,prompt,tokens_len,year1,year2
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2014 earlier than 1800? Answer with 'Yes' or 'No'.
A:",46,2014,1800
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1947 earlier than 2017? Answer with 'Yes' or 'No'.
A:",46,1947,2017
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1818 earlier than 2004? Answer with 'Yes' or 'No'.
A:",46,1818,2004
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2004 earlier than 1861? Answer with 'Yes' or 'No'.
A:",46,2004,1861
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2020 earlier than 1859? Answer with 'Yes' or 'No'.
A:",46,2020,1859
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2012 earlier than 1986? Answer with 'Yes' or 'No'.
A:",46,2012,1986
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2015 earlier than 1811? Answer with 'Yes' or 'No'.
A:",46,2015,1811
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1978 earlier than 2011? Answer with 'Yes' or 'No'.
A:",46,1978,2011
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1844 earlier than 2010? Answer with 'Yes' or 'No'.
A:",46,1844,2010
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2010 earlier than 1836? Answer with 'Yes' or 'No'.
A:",46,2010,1836
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2006 earlier than 1877? Answer with 'Yes' or 'No'.
A:",46,2006,1877
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2002 earlier than 1877? Answer with 'Yes' or 'No'.
A:",46,2002,1877
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1989 earlier than 2017? Answer with 'Yes' or 'No'.
A:",46,1989,2017
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2013 earlier than 1868? Answer with 'Yes' or 'No'.
A:",46,2013,1868
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1902 earlier than 2009? Answer with 'Yes' or 'No'.
A:",46,1902,2009
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1827 earlier than 2014? Answer with 'Yes' or 'No'.
A:",46,1827,2014
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1895 earlier than 2005? Answer with 'Yes' or 'No'.
A:",46,1895,2005
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2018 earlier than 1814? Answer with 'Yes' or 'No'.
A:",46,2018,1814
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1905 earlier than 2008? Answer with 'Yes' or 'No'.
A:",46,1905,2008
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2015 earlier than 1887? Answer with 'Yes' or 'No'.
A:",46,2015,1887
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1977 earlier than 2012? Answer with 'Yes' or 'No'.
A:",46,1977,2012
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2013 earlier than 1924? Answer with 'Yes' or 'No'.
A:",46,2013,1924
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2005 earlier than 1911? Answer with 'Yes' or 'No'.
A:",46,2005,1911
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1952 earlier than 2008? Answer with 'Yes' or 'No'.
A:",46,1952,2008
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1967 earlier than 2009? Answer with 'Yes' or 'No'.
A:",46,1967,2009
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1923 earlier than 2007? Answer with 'Yes' or 'No'.
A:",46,1923,2007
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1922 earlier than 2007? Answer with 'Yes' or 'No'.
A:",46,1922,2007
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1843 earlier than 2002? Answer with 'Yes' or 'No'.
A:",46,1843,2002
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2008 earlier than 1932? Answer with 'Yes' or 'No'.
A:",46,2008,1932
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2019 earlier than 1820? Answer with 'Yes' or 'No'.
A:",46,2019,1820
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2003 earlier than 1858? Answer with 'Yes' or 'No'.
A:",46,2003,1858
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2009 earlier than 1964? Answer with 'Yes' or 'No'.
A:",46,2009,1964
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1882 earlier than 2011? Answer with 'Yes' or 'No'.
A:",46,1882,2011
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2006 earlier than 1836? Answer with 'Yes' or 'No'.
A:",46,2006,1836
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1937 earlier than 2001? Answer with 'Yes' or 'No'.
A:",46,1937,2001
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2007 earlier than 1970? Answer with 'Yes' or 'No'.
A:",46,2007,1970
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1934 earlier than 2011? Answer with 'Yes' or 'No'.
A:",46,1934,2011
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2012 earlier than 1905? Answer with 'Yes' or 'No'.
A:",46,2012,1905
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1841 earlier than 2003? Answer with 'Yes' or 'No'.
A:",46,1841,2003
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1881 earlier than 2014? Answer with 'Yes' or 'No'.
A:",46,1881,2014
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2011 earlier than 1862? Answer with 'Yes' or 'No'.
A:",46,2011,1862
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2009 earlier than 1955? Answer with 'Yes' or 'No'.
A:",46,2009,1955
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1879 earlier than 2011? Answer with 'Yes' or 'No'.
A:",46,1879,2011
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1804 earlier than 2011? Answer with 'Yes' or 'No'.
A:",46,1804,2011
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2008 earlier than 1863? Answer with 'Yes' or 'No'.
A:",46,2008,1863
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2017 earlier than 1817? Answer with 'Yes' or 'No'.
A:",46,2017,1817
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1960 earlier than 2011? Answer with 'Yes' or 'No'.
A:",46,1960,2011
Yes,"<system> You are a bot that can compare years. <system>
Please answer: Is 1861 earlier than 2007? Answer with 'Yes' or 'No'.
A:",46,1861,2007
No,"<system> You are a bot that can compare years. <system>
Please answer: Is 2015 earlier than 1960? Answer with 'Yes' or 'No'.
A:",46,2015,1960
